Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
VXX,36.53,Put,34.50,05/01/20,2,0.24,0.25,0.25,0.24,9550,337,28.34,86.53%,"16:02 ET"
HYG,80.22,Put,78.50,05/08/20,9,0.61,0.64,0.67,0.59,3104,122,25.44,25.02%,"16:00 ET"
XLE,38.85,Call,39.00,05/29/20,30,1.97,2.02,2.06,1.82,3150,127,24.8,42.52%,"15:21 ET"
IWM,136.33,Call,155.00,05/29/20,30,0.24,0.25,0.26,0.25,3196,131,24.4,27.86%,"16:08 ET"
IWM,136.33,Put,132.00,05/01/20,2,0.89,0.91,0.92,0.93,3757,160,23.48,60.76%,"16:12 ET"
SPY,294.54,Put,294.00,05/04/20,5,3.57,3.6,3.63,3.60,2771,120,23.09,26.30%,"16:11 ET"
SPY,294.54,Put,295.00,05/01/20,2,3.35,3.37,3.39,3.33,23697,1059,22.38,32.15%,"16:11 ET"
LQD,130.08,Call,125.00,05/15/20,16,4.90,5.05,5.20,5.21,2501,114,21.94,12.88%,"13:21 ET"
SPY,294.54,Put,297.00,04/29/20,0,3.65,3.69,3.72,3.65,3350,155,21.61,0.00%,"16:11 ET"
IWM,136.33,Put,131.00,05/01/20,2,0.68,0.69,0.70,0.75,11780,586,20.1,62.78%,"16:11 ET"
SPY,294.54,Put,297.00,05/01/20,2,4.63,4.67,4.70,4.60,3191,165,19.34,32.61%,"16:11 ET"
IWM,136.33,Put,127.00,06/19/20,51,4.36,4.38,4.40,4.30,12298,649,18.95,41.20%,"16:06 ET"
SPY,294.54,Put,290.00,05/01/20,2,1.37,1.38,1.38,1.37,135376,7254,18.66,34.15%,"16:11 ET"
VXX,36.53,Put,31.00,07/17/20,79,3.15,3.2,3.25,3.25,5098,284,17.95,90.34%,"15:55 ET"
SPY,294.54,Put,292.00,05/01/20,2,1.89,1.9,1.92,1.97,31196,1780,17.53,33.00%,"16:11 ET"
IWM,136.33,Put,136.00,06/19/20,51,7.60,7.63,7.65,7.80,2005,115,17.43,38.92%,"16:11 ET"
QQQ,219.76,Put,219.00,05/01/20,2,2.56,2.58,2.60,2.63,3338,194,17.21,43.32%,"16:07 ET"
IWM,136.33,Put,106.00,12/18/20,233,5.10,5.19,5.27,5.56,1812,106,17.09,43.64%,"10:27 ET"
GLD,161.68,Call,200.00,12/18/20,233,3.20,3.25,3.30,2.97,3679,217,16.95,25.47%,"14:13 ET"
XLF,23.51,Put,24.00,05/08/20,9,0.75,0.77,0.78,0.75,5147,306,16.82,34.30%,"14:52 ET"
SPY,294.54,Put,291.00,05/01/20,2,1.58,1.59,1.59,1.63,30974,1881,16.47,33.36%,"16:11 ET"
SPY,294.54,Put,270.00,05/20/20,21,2.30,2.32,2.34,2.33,16112,979,16.46,37.65%,"16:08 ET"
TZA,29.48,Call,35.00,05/08/20,9,1.02,1.08,1.14,1.03,3279,203,16.15,144.87%,"16:14 ET"
EWJ,53.38,Call,55.00,06/19/20,51,0.75,0.78,0.80,0.75,3622,226,16.03,17.16%,"15:31 ET"
SPY,294.54,Call,306.00,05/13/20,14,1.00,1.02,1.03,1.04,5162,326,15.83,20.59%,"16:10 ET"
SHY,86.65,Put,87.00,09/17/21,506,1.05,1.43,1.80,1.42,2091,136,15.38,4.73%,"14:36 ET"
SPY,294.54,Put,291.00,05/29/20,30,7.77,7.8,7.83,7.45,4946,322,15.36,26.88%,"15:39 ET"
VXX,36.53,Put,29.00,07/17/20,79,2.32,2.35,2.38,2.39,5183,340,15.24,88.98%,"14:28 ET"
ERX,16.57,Put,10.00,01/21/22,632,2.45,2.78,3.10,3.00,2082,144,14.46,90.19%,"15:55 ET"
XLK,92.06,Call,93.00,05/01/20,2,0.80,0.83,0.85,0.83,3152,220,14.33,45.88%,"16:03 ET"
XLU,58.94,Put,59.00,05/01/20,2,0.38,0.4,0.41,0.38,1504,105,14.32,25.96%,"15:18 ET"
SPY,294.54,Put,282.00,05/06/20,7,1.28,1.3,1.31,1.28,10525,752,14,32.94%,"16:11 ET"
SPY,294.54,Put,294.00,05/08/20,9,5.13,5.15,5.18,5.14,4925,356,13.83,28.07%,"16:11 ET"
UVXY,39.86,Call,40.00,05/08/20,9,3.35,3.45,3.55,3.40,1875,136,13.79,136.38%,"16:14 ET"
AMLP,5.22,Call,6.00,06/19/20,51,0.10,0.15,0.20,0.17,1515,114,13.29,54.63%,"16:05 ET"
SPY,294.54,Call,310.00,08/21/20,114,8.71,8.75,8.78,9.26,7884,604,13.05,23.20%,"15:53 ET"
IWM,136.33,Call,142.00,07/17/20,79,5.08,5.15,5.22,5.14,8152,674,12.09,29.75%,"16:10 ET"
VNQ,77.29,Put,75.00,09/18/20,142,5.60,5.75,5.90,5.77,16011,1328,12.06,37.34%,"15:42 ET"
IWM,136.33,Put,116.00,06/30/20,62,2.49,2.54,2.59,2.33,1506,131,11.5,43.93%,"15:25 ET"
SHY,86.65,Put,86.00,09/17/21,506,0.35,0.73,1.10,0.72,1506,132,11.41,3.83%,"14:36 ET"
LQD,130.08,Call,131.00,05/15/20,16,0.60,0.65,0.70,0.62,3570,313,11.41,9.20%,"16:12 ET"
SPY,294.54,Call,293.00,05/27/20,28,8.47,8.5,8.54,9.28,3052,268,11.39,26.68%,"16:01 ET"
SPY,294.54,Put,290.00,05/26/20,27,6.90,6.93,6.96,6.89,3749,331,11.33,27.93%,"16:11 ET"
SPY,294.54,Put,230.00,05/29/20,30,0.64,0.65,0.65,0.65,26948,2383,11.31,50.01%,"16:11 ET"
XHB,37.68,Call,37.00,05/15/20,16,1.63,1.67,1.71,1.70,4646,411,11.3,43.36%,"16:02 ET"
SPY,294.54,Call,306.00,05/06/20,7,0.32,0.33,0.34,0.33,10750,955,11.26,20.83%,"16:11 ET"
EFA,57.94,Put,56.00,05/15/20,16,0.49,0.51,0.52,0.51,33547,3049,11,26.43%,"15:55 ET"
SPY,294.54,Call,308.00,05/06/20,7,0.19,0.2,0.20,0.18,11539,1060,10.89,20.43%,"16:11 ET"
TQQQ,70.18,Put,70.00,05/08/20,9,3.95,4,4.05,3.99,1773,163,10.88,93.24%,"15:56 ET"
IWM,136.33,Call,150.00,05/29/20,30,0.68,0.69,0.70,0.66,2170,205,10.59,28.47%,"16:09 ET"
GLD,161.68,Call,200.00,07/17/20,79,0.64,0.65,0.66,0.65,2046,195,10.49,29.34%,"16:07 ET"
IWM,136.33,Put,130.50,05/01/20,2,0.59,0.6,0.61,0.58,3295,314,10.49,60.26%,"15:31 ET"
GDX,34.01,Call,36.00,05/29/20,30,1.08,1.15,1.21,1.20,1181,113,10.45,51.68%,"16:05 ET"
SPY,294.54,Put,289.00,11/20/20,205,23.48,23.72,23.95,24.03,2661,256,10.39,31.56%,"10:57 ET"
SPY,294.54,Put,298.00,05/01/20,2,5.38,5.41,5.44,5.18,2398,231,10.38,31.08%,"16:06 ET"
EEM,37.47,Call,37.50,05/01/20,2,0.32,0.33,0.34,0.29,3030,293,10.34,29.59%,"15:26 ET"
SPY,294.54,Put,280.00,05/06/20,7,1.00,1.02,1.03,1.04,16799,1653,10.16,33.95%,"16:11 ET"
EEM,37.47,Call,37.00,07/17/20,79,2.09,2.13,2.17,2.06,10007,993,10.08,25.97%,"13:19 ET"
GLD,161.68,Put,150.00,05/08/20,9,0.11,0.12,0.13,0.10,3170,323,9.81,26.85%,"15:55 ET"
IWM,136.33,Call,136.00,07/17/20,79,8.24,8.3,8.36,8.70,1122,117,9.59,33.99%,"16:04 ET"
SPY,294.54,Put,278.00,05/04/20,5,0.36,0.37,0.38,0.32,13440,1416,9.49,32.07%,"16:05 ET"
QQQ,219.76,Put,219.00,05/08/20,9,4.18,4.21,4.24,4.30,1569,166,9.45,32.78%,"16:07 ET"
SPY,294.54,Put,273.00,05/06/20,7,0.48,0.49,0.49,0.46,2391,257,9.3,36.68%,"15:59 ET"
QQQ,219.76,Put,216.00,05/08/20,9,3.12,3.14,3.16,3.03,3721,410,9.08,33.23%,"16:05 ET"
SPY,294.54,Put,295.00,05/04/20,5,4.07,4.11,4.14,4.04,2239,247,9.06,25.66%,"16:11 ET"
XOP,53.6,Call,55.00,05/15/20,16,2.15,2.17,2.19,2.10,1768,199,8.88,59.97%,"16:04 ET"
VXX,36.53,Call,36.00,05/01/20,2,1.32,1.34,1.36,1.32,1481,170,8.71,99.21%,"16:01 ET"
XLE,38.85,Call,39.00,05/08/20,9,1.09,1.11,1.12,1.09,869,100,8.69,48.11%,"16:00 ET"
SPY,294.54,Call,293.00,04/29/20,0,0.60,0.62,0.64,0.65,84345,9709,8.69,0.00%,"16:11 ET"
SPY,294.54,Put,281.00,05/22/20,23,4.32,4.35,4.37,4.12,2906,335,8.67,32.18%,"15:45 ET"
EWZ,25.97,Put,25.00,06/30/20,62,2.00,2.04,2.07,2.05,961,111,8.66,59.98%,"16:04 ET"
IWM,136.33,Call,140.00,05/08/20,9,1.54,1.57,1.59,1.45,48837,5728,8.53,35.31%,"16:12 ET"
QQQ,219.76,Put,152.00,08/21/20,114,1.84,1.86,1.88,1.83,1010,119,8.49,47.83%,"15:23 ET"
IWM,136.33,Put,130.00,05/01/20,2,0.51,0.52,0.53,0.54,24588,2899,8.48,62.22%,"16:12 ET"
XLE,38.85,Call,40.00,05/15/20,16,0.99,1.01,1.02,1.01,22833,2720,8.39,46.20%,"16:02 ET"
XLC,50.94,Call,54.00,06/19/20,51,0.70,0.75,0.80,0.76,1039,125,8.31,24.20%,"15:01 ET"
SQQQ,11.49,Put,10.00,05/08/20,9,0.05,0.08,0.10,0.10,1064,128,8.31,82.82%,"15:56 ET"
SPY,294.54,Call,293.00,05/06/20,7,4.26,4.29,4.32,4.32,6752,814,8.29,23.31%,"16:11 ET"
TNA,25.74,Call,26.00,05/01/20,2,0.78,0.81,0.84,0.84,1162,143,8.13,139.08%,"16:13 ET"
XBI,96.33,Put,95.00,05/08/20,9,1.75,1.83,1.91,1.70,2023,251,8.06,38.79%,"15:08 ET"
SPY,294.54,Call,290.00,05/26/20,27,10.17,10.22,10.26,10.21,3533,439,8.05,25.01%,"16:11 ET"
VXX,36.53,Call,37.00,05/01/20,2,0.89,0.9,0.91,0.89,2020,257,7.86,104.18%,"16:01 ET"
QQQ,219.76,Put,172.50,05/29/20,30,0.49,0.5,0.51,0.50,2000,259,7.72,49.42%,"10:19 ET"
SPY,294.54,Call,363.00,07/17/20,79,0.11,0.12,0.13,0.12,830,108,7.69,19.74%,"14:43 ET"
IWM,136.33,Put,132.00,05/08/20,9,2.19,2.22,2.24,2.23,2084,271,7.69,46.46%,"16:11 ET"
IWM,136.33,Put,101.00,12/18/20,233,4.16,4.23,4.29,4.09,10000,1300,7.69,43.01%,"16:03 ET"
SPY,294.54,Call,307.00,05/04/20,5,0.10,0.11,0.11,0.10,1809,237,7.63,20.40%,"16:11 ET"
TQQQ,70.18,Call,72.00,05/08/20,9,3.10,3.15,3.20,3.15,1769,233,7.59,89.57%,"15:56 ET"
SPY,294.54,Put,293.00,05/08/20,9,4.70,4.73,4.76,4.75,3552,468,7.59,28.62%,"16:11 ET"
EWW,30.26,Put,28.00,05/08/20,9,0.13,0.16,0.18,0.16,914,121,7.55,46.80%,"13:15 ET"
IWM,136.33,Put,127.00,05/08/20,9,1.04,1.06,1.07,1.09,2481,330,7.52,49.91%,"16:11 ET"
QQQ,219.76,Put,217.00,05/01/20,2,1.82,1.84,1.85,1.86,8968,1195,7.5,44.79%,"16:07 ET"
SPY,294.54,Call,285.00,05/29/20,30,14.47,14.5,14.54,14.86,5236,702,7.46,28.80%,"16:05 ET"
UVXY,39.86,Call,40.00,05/01/20,2,1.80,1.83,1.85,1.80,2703,368,7.35,153.68%,"16:15 ET"
IWM,136.33,Put,133.00,05/15/20,16,3.33,3.34,3.36,3.42,3673,504,7.29,42.50%,"16:12 ET"
SPY,294.54,Call,297.00,07/17/20,79,12.22,12.26,12.30,12.29,11624,1595,7.29,24.46%,"16:10 ET"
SPY,294.54,Put,225.00,05/29/20,30,0.52,0.53,0.53,0.54,15414,2117,7.28,51.90%,"16:10 ET"
UPRO,39.53,Call,41.00,05/01/20,2,0.20,0.25,0.30,0.40,874,122,7.16,87.02%,"15:55 ET"
SPY,294.54,Put,290.00,05/04/20,5,2.10,2.11,2.12,2.09,6959,979,7.11,27.60%,"16:11 ET"
IWM,136.33,Put,128.00,05/01/20,2,0.28,0.29,0.30,0.31,7602,1079,7.05,64.40%,"16:12 ET"
SMH,139.24,Put,132.00,05/15/20,16,2.02,2.07,2.11,1.96,1634,233,7.01,41.08%,"15:59 ET"
SPY,294.54,Put,285.00,05/04/20,5,1.04,1.05,1.05,1.05,9972,1423,7.01,30.06%,"16:11 ET"
XLF,23.51,Put,23.50,05/15/20,16,0.66,0.67,0.68,0.67,769,110,6.99,36.16%,"15:32 ET"
SPY,294.54,Put,292.00,05/08/20,9,4.22,4.24,4.26,4.33,6955,996,6.98,28.85%,"16:11 ET"
EWZ,25.97,Put,24.50,05/01/20,2,0.15,0.16,0.16,0.18,901,137,6.58,88.54%,"14:53 ET"
SPY,294.54,Put,292.00,05/06/20,7,3.49,3.51,3.53,3.52,2376,366,6.49,27.59%,"16:10 ET"
IWM,136.33,Put,136.00,05/15/20,16,4.56,4.57,4.59,4.72,3752,578,6.49,41.59%,"16:11 ET"
TZA,29.48,Call,35.00,05/15/20,16,1.55,1.61,1.67,1.60,1516,234,6.48,134.65%,"16:14 ET"
SPY,294.54,Put,300.00,04/29/20,0,6.58,6.65,6.72,6.38,1935,303,6.39,0.00%,"16:07 ET"
QQQ,219.76,Put,218.00,05/08/20,9,3.82,3.84,3.87,3.92,4227,661,6.39,33.50%,"16:07 ET"
ITB,38.11,Call,41.00,06/19/20,51,0.95,1.03,1.10,1.05,1244,195,6.38,36.96%,"15:18 ET"
IWM,136.33,Put,134.00,05/15/20,16,3.71,3.73,3.74,3.81,2036,324,6.28,42.10%,"16:09 ET"
SPY,294.54,Put,297.00,12/17/21,597,38.45,38.93,39.41,38.52,777,124,6.27,26.84%,"15:22 ET"
SPY,294.54,Call,310.00,05/06/20,7,0.11,0.11,0.12,0.12,3320,536,6.19,21.01%,"16:08 ET"
TZA,29.48,Put,30.00,05/01/20,2,1.26,1.35,1.44,1.34,803,130,6.18,139.18%,"16:13 ET"
TLT,168.53,Put,164.00,06/19/20,51,2.50,2.55,2.59,2.64,2585,419,6.17,18.95%,"16:04 ET"
IWM,136.33,Call,136.00,05/01/20,2,1.85,1.87,1.88,1.75,10966,1805,6.08,44.34%,"16:11 ET"
QQQ,219.76,Put,217.50,05/01/20,2,1.98,1.99,2.01,2.03,2392,395,6.06,44.38%,"16:07 ET"
IWM,136.33,Call,145.00,05/08/20,9,0.44,0.45,0.46,0.41,6109,1008,6.06,33.84%,"16:12 ET"
SPY,294.54,Put,297.00,07/17/20,79,16.98,17.04,17.09,16.50,11099,1839,6.04,28.03%,"16:01 ET"
VXX,36.53,Call,37.50,05/01/20,2,0.72,0.73,0.74,0.74,717,119,6.03,108.03%,"16:00 ET"
TNA,25.74,Call,25.50,05/01/20,2,0.99,1.07,1.15,0.99,1247,208,6,129.33%,"16:12 ET"
SPY,294.54,Call,307.00,05/13/20,14,0.83,0.85,0.87,1.08,911,152,5.99,21.95%,"16:01 ET"
SPY,294.54,Put,296.00,05/01/20,2,3.97,3.99,4.01,3.95,2847,483,5.89,32.51%,"16:11 ET"
SPY,294.54,Put,288.00,05/04/20,5,1.57,1.59,1.61,1.59,3517,607,5.79,28.55%,"16:11 ET"
SPY,294.54,Put,284.00,05/13/20,14,3.20,3.22,3.24,2.99,844,147,5.74,30.55%,"15:53 ET"
XLE,38.85,Put,37.00,05/01/20,2,0.16,0.17,0.17,0.17,1204,212,5.68,67.59%,"15:58 ET"
IWM,136.33,Call,145.00,12/18/20,233,8.46,8.58,8.70,8.90,1836,324,5.67,28.05%,"13:30 ET"
SPY,294.54,Call,294.00,05/01/20,2,2.17,2.18,2.19,2.17,31191,5587,5.58,25.06%,"16:11 ET"
SPY,294.54,Call,298.00,05/04/20,5,1.24,1.26,1.27,1.28,30737,5607,5.48,20.53%,"16:11 ET"
SPY,294.54,Call,309.00,05/08/20,9,0.30,0.31,0.31,0.34,1420,261,5.44,21.80%,"16:06 ET"
SPY,294.54,Put,293.00,05/04/20,5,3.12,3.15,3.17,3.13,3627,671,5.41,26.39%,"16:11 ET"
SPY,294.54,Put,290.00,05/29/20,30,7.45,7.48,7.52,7.59,19534,3696,5.29,28.67%,"16:11 ET"
SPY,294.54,Call,294.00,04/29/20,0,0.15,0.16,0.17,0.18,104858,20267,5.17,0.00%,"16:11 ET"
SPY,294.54,Put,300.00,05/08/20,9,8.47,8.52,8.57,8.50,1461,283,5.16,26.75%,"16:11 ET"
SPY,294.54,Call,301.00,05/01/20,2,0.28,0.29,0.29,0.26,16494,3303,4.99,24.87%,"16:11 ET"
SPY,294.54,Call,290.00,05/29/20,30,10.87,10.91,10.95,11.75,18436,3701,4.98,28.38%,"15:54 ET"
TQQQ,70.18,Put,75.00,05/01/20,2,5.25,5.35,5.45,5.45,2123,427,4.97,106.29%,"15:53 ET"
SPY,294.54,Call,302.00,05/11/20,12,1.50,1.52,1.54,1.54,988,199,4.96,20.48%,"16:11 ET"
SPXU,14.73,Call,15.00,05/01/20,2,0.35,0.38,0.40,0.35,2159,441,4.9,97.48%,"16:10 ET"
TLT,168.53,Put,168.00,05/08/20,9,1.71,1.83,1.95,1.91,553,114,4.85,21.23%,"15:17 ET"
SQQQ,11.49,Call,12.00,05/22/20,23,0.90,0.93,0.95,0.93,1505,310,4.85,98.80%,"15:49 ET"
XLF,23.51,Put,23.50,05/01/20,2,0.25,0.26,0.27,0.27,1286,266,4.83,43.81%,"15:59 ET"
SPY,294.54,Put,289.00,05/04/20,5,1.81,1.83,1.85,1.82,3076,637,4.83,28.04%,"16:11 ET"
SQQQ,11.49,Call,11.00,05/01/20,2,0.65,0.7,0.75,0.74,2034,427,4.76,134.21%,"15:53 ET"
SPY,294.54,Call,296.00,05/01/20,2,1.30,1.31,1.32,1.31,22522,4748,4.74,24.90%,"16:11 ET"
XLE,38.85,Call,38.50,05/01/20,2,0.84,0.85,0.86,0.86,1290,277,4.66,60.16%,"16:01 ET"
SPY,294.54,Put,297.50,05/01/20,2,4.85,4.88,4.91,5.01,617,134,4.6,33.50%,"16:11 ET"
XLF,23.51,Put,24.00,05/01/20,2,0.55,0.56,0.57,0.53,882,192,4.59,37.29%,"15:21 ET"
DIA,247.16,Put,245.00,05/08/20,9,3.70,3.8,3.90,3.70,862,190,4.54,31.09%,"15:56 ET"
SPY,294.54,Put,300.00,05/01/20,2,7.02,7.06,7.09,7.00,2071,458,4.52,35.52%,"16:11 ET"
XLE,38.85,Put,36.21,05/15/20,16,0.72,0.74,0.75,0.71,1176,261,4.51,54.74%,"15:57 ET"
SPY,294.54,Call,299.00,05/01/20,2,0.53,0.54,0.54,0.52,16157,3642,4.44,24.69%,"16:11 ET"
QQQ,219.76,Call,221.00,05/01/20,2,1.83,1.86,1.88,1.72,21755,4896,4.44,37.77%,"16:07 ET"
SPY,294.54,Call,310.00,05/18/20,19,0.78,0.8,0.81,0.97,1413,326,4.33,20.79%,"15:53 ET"
NUGT,69.67,Call,68.00,05/01/20,2,2.80,3.15,3.50,3.08,912,211,4.32,147.83%,"16:01 ET"
QQQ,219.76,Call,227.00,09/18/20,142,11.73,11.77,11.81,11.94,1041,244,4.27,27.13%,"16:04 ET"
QQQ,219.76,Call,220.00,05/29/20,30,6.90,6.94,6.98,7.11,1513,357,4.24,29.20%,"15:47 ET"
XLU,58.94,Put,59.00,01/21/22,632,8.65,9.08,9.50,8.54,1168,278,4.2,30.19%,"13:26 ET"
IWM,136.33,Put,133.00,05/08/20,9,2.53,2.54,2.55,2.60,1790,430,4.16,46.39%,"16:08 ET"
SPY,294.54,Put,295.00,05/26/20,27,8.71,8.75,8.79,8.49,518,125,4.14,25.37%,"16:06 ET"
IWM,136.33,Put,119.00,05/22/20,23,0.97,0.99,1.00,0.84,609,147,4.14,45.14%,"15:15 ET"
SPY,294.54,Call,308.00,05/08/20,9,0.37,0.38,0.38,0.38,2983,720,4.14,21.28%,"16:09 ET"
SPY,294.54,Call,304.00,05/04/20,5,0.24,0.25,0.25,0.23,1809,438,4.13,19.76%,"16:11 ET"
SPY,294.54,Put,240.00,05/29/20,30,0.94,0.95,0.96,0.96,31790,7708,4.12,46.40%,"16:11 ET"
IWM,136.33,Put,131.50,05/01/20,2,0.79,0.8,0.80,0.84,505,123,4.11,61.92%,"16:09 ET"
UNG,12.99,Call,13.00,05/08/20,9,0.71,0.72,0.72,0.73,1070,262,4.08,90.79%,"15:55 ET"
SPY,294.54,Call,294.00,05/04/20,5,2.87,2.9,2.92,2.90,8245,2038,4.05,21.06%,"16:11 ET"
HYG,80.22,Call,83.00,07/17/20,79,0.90,0.98,1.06,0.84,655,162,4.04,12.44%,"14:10 ET"
XOP,53.6,Call,53.00,05/01/20,2,1.64,1.67,1.71,1.65,2237,554,4.04,83.15%,"16:02 ET"
XLF,23.51,Put,20.00,07/17/20,79,0.57,0.58,0.59,0.56,12292,3054,4.02,45.45%,"15:22 ET"
IWM,136.33,Call,150.00,05/22/20,23,0.46,0.47,0.48,0.44,677,169,4.01,29.14%,"16:11 ET"
TNA,25.74,Call,30.00,05/08/20,9,0.38,0.41,0.43,0.43,1359,343,3.96,108.09%,"16:13 ET"
EWZ,25.97,Put,25.00,05/01/20,2,0.22,0.23,0.24,0.26,2231,568,3.93,81.25%,"15:40 ET"
SPY,294.54,Put,268.00,05/11/20,12,0.82,0.83,0.84,0.76,826,212,3.9,37.58%,"16:00 ET"
EWZ,25.97,Call,26.50,05/01/20,2,0.28,0.29,0.30,0.27,1376,353,3.9,66.07%,"15:58 ET"
IWM,136.33,Call,136.00,05/08/20,9,3.26,3.29,3.32,3.14,9394,2411,3.9,37.05%,"16:10 ET"
XLE,38.85,Call,40.00,05/08/20,9,0.64,0.65,0.65,0.65,1206,313,3.85,46.20%,"16:03 ET"
SPY,294.54,Put,290.00,05/08/20,9,3.56,3.58,3.59,3.65,13394,3479,3.85,29.74%,"16:11 ET"
IWM,136.33,Call,145.00,06/19/20,51,2.83,2.84,2.86,2.75,36178,9413,3.84,29.59%,"16:10 ET"
GLD,161.68,Put,155.00,05/08/20,9,0.33,0.34,0.35,0.33,3817,996,3.83,22.68%,"16:03 ET"
UVXY,39.86,Call,44.50,05/01/20,2,0.64,0.68,0.71,0.68,515,136,3.79,181.29%,"16:13 ET"
XLE,38.85,Call,38.21,01/15/21,261,5.25,5.43,5.60,5.40,1381,365,3.78,38.18%,"15:46 ET"
SPY,294.54,Put,290.00,08/21/20,114,17.38,17.42,17.45,17.48,1562,417,3.75,30.67%,"16:11 ET"
IWM,136.33,Put,132.00,06/19/20,51,5.97,5.99,6.02,6.08,2418,656,3.69,40.04%,"16:09 ET"
EUFN,13.64,Call,14.00,06/19/20,51,0.40,0.45,0.50,0.40,733,200,3.67,27.03%,"13:17 ET"
UVXY,39.86,Call,41.00,05/01/20,2,1.45,1.48,1.50,1.47,669,183,3.66,162.42%,"16:14 ET"
IWM,136.33,Put,121.00,05/08/20,9,0.37,0.39,0.40,0.41,2592,710,3.65,53.67%,"16:10 ET"
FXI,39.77,Call,40.00,05/29/20,30,0.89,0.94,0.98,0.92,616,170,3.62,22.31%,"15:20 ET"
UCO,12.85,Call,14.00,05/01/20,2,0.25,0.28,0.31,0.28,876,242,3.62,182.43%,"16:07 ET"
SPY,294.54,Put,295.00,05/08/20,9,5.58,5.61,5.64,5.58,3318,916,3.62,27.62%,"16:11 ET"
SPY,294.54,Call,312.00,05/08/20,9,0.16,0.17,0.17,0.16,1821,505,3.61,21.41%,"16:10 ET"
XLF,23.51,Put,24.50,05/08/20,9,1.09,1.11,1.13,1.12,828,231,3.58,35.69%,"15:55 ET"
SQQQ,11.49,Call,11.00,05/15/20,16,1.05,1.08,1.10,1.08,1454,408,3.56,85.48%,"15:56 ET"
SPY,294.54,Put,287.00,05/01/20,2,0.77,0.78,0.78,0.76,17864,5025,3.56,35.77%,"16:11 ET"
IWM,136.33,Put,116.00,07/17/20,79,3.10,3.15,3.20,3.15,1174,332,3.54,44.02%,"16:07 ET"
TZA,29.48,Call,35.00,05/01/20,2,0.20,0.24,0.27,0.28,1186,338,3.51,189.45%,"16:12 ET"
IWM,136.33,Call,143.00,05/15/20,16,1.27,1.28,1.29,1.48,5602,1602,3.5,34.82%,"16:03 ET"
SMH,139.24,Put,128.00,06/19/20,51,4.05,4.15,4.25,4.16,509,146,3.49,43.36%,"15:24 ET"
SPY,294.54,Call,310.00,05/08/20,9,0.24,0.25,0.25,0.24,5888,1686,3.49,21.18%,"16:10 ET"
SPY,294.54,Put,285.00,05/01/20,2,0.49,0.5,0.50,0.50,36660,10494,3.49,36.81%,"16:11 ET"
SPY,294.54,Call,293.00,05/01/20,2,2.70,2.72,2.73,2.70,27906,8054,3.46,25.03%,"16:11 ET"
SPY,294.54,Call,306.00,05/08/20,9,0.57,0.58,0.59,0.58,1147,338,3.39,21.37%,"16:11 ET"
